[2021-12-23 10:57:32,956]-[baiduapi.py]-[getplace_byabbreviation]-[139]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: float expected at most 1 arguments, got 2
[2021-12-23 10:57:36,180]-[baiduapi.py]-[getplace_byabbreviation]-[139]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: float expected at most 1 arguments, got 2
[2021-12-23 10:58:14,441]-[baiduapi.py]-[getplace_byabbreviation]-[139]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: float expected at most 1 arguments, got 2
[2021-12-23 15:31:08,195]-[baiduapi.py]-[get_place_accuracy_direction]-[200]-12s: [ERROR]-8s>> 查询地点信息出错！：Unexpected Error: list index out of range
[2021-12-23 15:31:09,315]-[baiduapi.py]-[get_driving_direction]-[169]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: 'NoneType' object is not subscriptable
[2021-12-23 15:31:28,857]-[baiduapi.py]-[get_place_accuracy_direction]-[200]-12s: [ERROR]-8s>> 查询地点信息出错！：Unexpected Error: list index out of range
[2021-12-23 15:31:31,931]-[baiduapi.py]-[get_driving_direction]-[169]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: 'NoneType' object is not subscriptable
[2021-12-23 16:42:28,570]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:42:28,570]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:42:28,571]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:42:28,571]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:42:29,620]-[CasSystemScrapy.py]-[insert_CasTravel]-[390]-12s: [ERROR]-8s>> 将派车单号GA-202112-4新增转化为sql出错：Unexpected Error: 0
[2021-12-23 16:42:29,620]-[CasSystemScrapy.py]-[insert_CasTravel]-[390]-12s: [ERROR]-8s>> 将派车单号GA-202112-4新增转化为sql出错：Unexpected Error: 0
[2021-12-23 16:43:19,965]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:43:19,965]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:43:19,965]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:43:19,965]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:46:40,212]-[CasSystemScrapy.py]-[insert_CasTravel]-[390]-12s: [ERROR]-8s>> 将派车单号GA-202112-4新增转化为sql出错：Unexpected Error: 0
[2021-12-23 16:46:40,212]-[CasSystemScrapy.py]-[insert_CasTravel]-[390]-12s: [ERROR]-8s>> 将派车单号GA-202112-4新增转化为sql出错：Unexpected Error: 0
[2021-12-23 16:47:05,665]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:47:05,665]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:47:05,666]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:47:05,666]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:49:46,465]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:49:46,465]-[CasSystemScrapy.py]-[<module>]-[645]-12s: [INFO]-8s>> ces
[2021-12-23 16:49:46,466]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 16:49:46,466]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
